AACombo,Fitness
EFVY,0.0
VMPN,0.0
VMPM,0.0
VMPL,0.0
SRDV,0.0
VDKN,0.0
VDKL,0.0
VDKK,0.0
VDKI,0.0
VDKG,0.0
VDKF,0.0
VDKD,0.0
VDKA,0.0
VDKY,0.0
VDKW,0.0
VDKV,0.0
VDKT,0.0
VDKS,0.0
VDKR,0.0
VDKQ,0.0
YQIQ,0.07359
VNTT,0.027572
YQIR,0.0
YQIT,0.0
YQIW,0.0
YQIV,0.017285
YQIY,0.03104
VNTV,0.760505
YQIA,0.0
VNTW,0.00845666666667
YQID,0.0
YQIG,0.120935
YQIF,0.0967799999999999
YQII,0.13007
YQIK,0.0
YQIM,0.24195
YQIL,0.123673333333
VNTQ,0.0371266666667
YFGD,0.0
YFGF,0.0
YFGG,0.0
YFGA,0.0
MGIY,0.015845
MGIW,0.0
MGIV,10.0981466667
YFGN,0.0
MGIT,0.0452666666666999
MGIS,0.046434
MGIR,0.0
MGIQ,0.07677
YFGT,0.01189
MGIN,0.015845
MGIM,10.83054
MGIL,6.124673333330001
MGIK,0.0
YFGQ,0.0
MGII,5.01552
MGIG,0.11796
MGIF,0.01751
MGID,0.0
YFGY,0.0
MGIA,0.0984049999999999
KCPD,0.0
VNTY,0.00868
FKGI,0.0
KCPL,0.0
VNTA,0.0
WLVA,0.0
WLVG,0.0
WLVF,0.0
WLVK,0.0
WLVI,0.003285
WLVM,0.0105675
VNTI,0.028215
WLVS,0.0
WLVQ,0.0
FKGS,0.0
WLVW,0.0
WLVV,0.0
WLVY,0.0
KCPS,0.491105
WWGS,0.0
NGNS,0.00845666666667
KCPQ,0.0
DNYT,0.0
WWGF,0.0
WWGA,0.0
WWGN,0.0
WWGI,0.0
DNYI,0.0
NGNN,0.02535
DNYL,0.0
PDKA,0.0
PDKG,0.0
PDKF,0.0
PDKI,0.0
PDKK,0.0
PDKL,0.0
PDKN,0.0
PDKS,0.0
PDKR,0.0
PDKT,0.0
PWEI,0.0
DNYD,0.0
DNYG,0.0
DNYF,0.0
RYKV,0.0
RYKW,0.0
RYKT,0.0
RYKR,0.0
RYKS,0.0
RYKQ,0.0
RYKY,0.0
RYKF,0.685866666667
RYKG,0.0
RYKD,0.0
RYKA,0.0
RYKN,0.0
RYKL,0.0
RYKM,0.0
RYKI,0.0
ALPS,0.0
ALPR,0.00122807692308
ALPQ,0.00396875
ALPW,0.00705
ALPV,0.0121041176471
ALPT,0.0
SFWR,0.00137111111111
SFWS,0.00423333333333
ALPY,0.0
SFWV,0.00192833333333
SFWW,0.0
SFWT,0.00785
SFWK,0.00396666666667
ALPA,0.0
SFWI,0.0
ALPG,0.00298
ALPF,0.009297
ALPD,0.0
ALPK,0.00302571428571
ALPI,0.116085555556
SFWF,0.0
ALPN,0.0
ALPM,0.0270755555556
ALPL,0.0226166666667
ICKM,0.0
AEKL,0.0362166666667
AEKG,0.0
AEKF,0.0
FRIR,0.0
AEKA,0.0
FRIN,0.0
FRIM,0.00244333333333
FRIL,0.00247777777778
FRIK,0.0
AEKY,0.0
AEKV,0.0
AEKS,0.0
AEKR,0.0
DVIQ,0.0
DVIS,0.0
DVIR,0.003735
DVIW,0.0
DVIV,0.021125
DVIY,0.0
DVIA,0.0
DVID,0.0
DVIG,0.0067975
DVIF,0.0
DVII,0.0
DVIK,0.0
DVIM,0.0
DVIL,0.0
DVIN,0.0
DAGD,0.0
DAGF,0.0067975
DAGG,0.0
DAGA,0.0
DAGL,0.007613
DAGM,0.0
DAGN,0.02113
DAGI,0.0
DAGK,0.0
DAGT,0.0
DAGV,0.0
DAGW,0.0
DAGQ,0.0
DAGR,0.0
DAGS,0.0
DAGY,0.0
WKNY,0.0
ANVV,11.636422
YVCY,0.051185
YVCQ,0.27651
YVCR,0.111681666667
YVCS,0.3252025
YVCT,0.33796
YVCV,0.278876666667
YVCW,0.0
YVCI,0.106895
YVCK,0.06452
YVCL,0.625768333333
YVCM,0.12149
YVCN,0.233815
YVCA,0.166345
YVCD,0.102975
YVCF,0.8054399999999999
YVCG,0.091925
NHSD,0.0
SERS,0.0132785714286
EFDY,0.0
SERY,0.00202
SERD,0.0
SERA,0.0216725
EYDY,0.04224
YIKF,0.0
EFDI,0.0
SERM,0.0126816666667
EYDG,0.0
EFDK,0.0
YIKK,0.0
RSCA,0.0
RSCD,0.0
RSCF,0.03556
RSCG,0.0018725
RSCI,0.0
RSCK,0.0
RSCL,0.00077
RSCM,0.0
RSCN,0.0
RSCQ,0.00891875
RSCR,0.0
RSCS,0.0012768
RSCT,0.00150058823529
RSCV,0.0
RSCY,0.0
YIKL,0.0
YIKR,0.0115266666667
CMYV,0.06337
EYDI,0.0
TQEA,0.04224
TQEF,0.03169
TQEG,0.01585
TQED,0.04224
TQEK,0.0
TQEI,0.019015
TQEN,0.0
TQEL,0.020375
TQEM,0.04753
TQER,0.0
TQEV,5.409990000000001
TQEW,0.0
TQET,0.0
TQEY,0.0
VWPQ,0.0
RDEY,0.0
RDET,0.0
RDEW,0.0
RDEV,0.0
RDEQ,0.0
RDES,0.0
RDER,0.0
RDEM,0.0
RDEL,0.0
RDEN,0.0
RDEI,0.0
RDED,0.0
RDEG,0.0
RDEA,0.0
HQTI,0.0
DQCY,0.0
DQCR,0.0
DQCS,0.0063433333333299
DQCT,0.047525
DQCV,0.01728
DQCW,0.0
DQCI,0.01267
DQCK,0.0
DQCL,0.0120766666667
DQCM,0.0
DQCN,0.0
DQCA,0.03168
DQCD,0.03456
DQCF,0.01653
DQCG,0.02925
SYTY,0.0303666666667
SYTQ,0.096248
SYTR,0.0
SYTS,0.107733125
SYTT,0.06865
SYTV,0.307867777778
SYTW,0.00254333333333
SYTI,0.27364
SYTK,0.0
SYTL,0.08672
SYTM,0.167771666667
SYTN,0.0384633333333
SYTA,0.350511428571
SYTD,0.0
SYTF,0.04282
SYTG,0.487396363636
HEFQ,0.0
QMLG,0.0
ANVM,14.89119
KAHT,0.0
YNWI,0.03802
VVEL,0.0
VVEF,0.0
VVED,0.0
VVEW,0.0
VVEV,0.0
VVER,0.0
VAFI,0.628875
VAFK,0.009915
VAFM,2.9667775
VAFL,3.04964666667
VAFN,0.01389
VAFA,0.00667833333333
VAFD,0.0079275
VAFG,0.0099475
VAFF,0.5354875
VAFY,0.2907475
ANVI,5.15333333333
VAFQ,0.8889925
VAFS,0.00475333333333
VAFR,0.00288916666667
VAFT,0.0120414285714
VAFW,0.0
VAFV,0.0167528571429
QMLD,0.0
KAHQ,0.0
NERY,0.0
NERQ,0.0
NERS,0.0
NERR,0.0
NERT,0.0
NERW,0.0
NERV,0.0
NERI,0.0
NERK,0.0
NERM,0.0
NERL,0.0
NERN,0.0
NERA,0.0
NERD,0.0
NERG,0.0
NERF,0.0
RFAI,0.00254333333333
WKNQ,0.0
EMWW,0.0
EMWV,0.0
EMWT,0.0
EMWS,0.0
EMWQ,0.0
EMWY,0.0
EMWD,0.0
EMWA,0.0
EMWL,0.0
EWTQ,0.0
EDTY,0.0
EWTW,0.0
EDTS,0.0
EDTR,0.0
EDTQ,0.0
EDTW,0.0
EDTV,0.0
EDTT,0.0
EDTK,0.0
EDTI,0.0
EDTM,0.0
EDTL,0.002724
EDTA,0.0
EDTD,0.0
KKHM,0.0
KKHR,0.0
RKQL,0.0
RKQM,0.0
RKQK,0.0
KKHY,0.0
WCQK,0.0
WCQY,0.0
WCQS,0.0
WCQR,0.0
HQCL,0.0
HQCM,6.7622
HQCN,0.0
HQCI,0.0
HQCK,0.0
HQCD,0.0
HQCF,0.0
HQCG,0.0
HQCA,0.0
HQCY,0.0
HQCT,0.0
HQCV,0.0
HQCW,0.0
HQCQ,0.0
HQCR,0.0
HQCS,0.00551666666667
FIAT,0.0090599999999999
AWEN,0.0
AWEL,0.0
FIAQ,0.0
AWEF,0.0
FIAY,0.05432
AWEA,0.0
FIAD,0.0
FIAF,0.012635
FIAG,0.0209825
FIAA,0.01815
AWEY,0.0
AWEV,0.0
FIAN,0.03802
AWES,0.0
AWER,0.0
AWEQ,0.0
WSML,0.05609
WSMN,0.0
WNTY,0.0
EHTI,0.0
WNTS,0.0
WNTR,0.0
WNTQ,0.0
WNTW,0.0
WNTV,0.0
WNTT,0.0
WNTK,0.0
WNTI,0.03169
WNTN,0.0
WNTM,0.0
WNTL,0.0052875
WNTA,0.0
WNTG,0.00975666666667
WNTF,0.0
WNTD,0.0
GQIV,0.650633333333
DFHF,0.0
DFHG,0.0
DFHD,0.0
DFHA,0.0
DFHN,0.0
DFHL,0.0
DFHM,0.0
DFHK,0.0
DFHI,0.0
DFHV,0.0
DFHW,0.0
DFHT,0.0
DFHR,0.0
DFHS,0.0
DFHQ,0.0
DFHY,0.0
FKHV,0.0
VLHG,0.0
VLHD,0.0
VLHK,0.003464
VLHI,0.00941166666667
VLHN,0.0
VLHL,0.0614644444444
VLHR,0.0
VLHS,0.0
VLHQ,0.0
VLHV,0.0
VLHT,0.0
SAFN,0.0295816666667
PPTY,0.0
SAFL,3.77730444444
SAFM,2.73113666667
SAFK,0.019145
SAFI,0.0786566666666999
PPTQ,0.0
PPTR,0.0
PPTS,0.0
PPTT,0.0
PPTV,0.0
SAFA,0.04097
PPTI,0.0
PPTK,0.0
PPTL,0.0
PPTM,0.0
PPTN,0.0
SAFY,0.0822633333333
SAFV,0.0615545454545
SAFW,0.0101066666667
SAFT,0.0468816666666999
SAFR,0.00552
PPTF,0.00216875
SAFQ,2.83748666667
QNHY,0.0
QNHS,0.0
QNHR,0.0
QNHT,0.0
QNHW,0.0
QNHV,0.0
QNHI,0.0
QNHK,0.0
QNHM,0.03168
QNHL,0.0
QNHN,0.0
QNHA,0.0
KIYD,0.0
QNHG,0.0
QNHF,0.0
LEQR,0.0
LEQS,0.00391888888889
LEQQ,0.0
LEQV,0.003025
LEQW,0.0
LEQT,0.0
DNPG,0.0
LEQY,0.007925
DNPD,0.0
LEQA,0.0067975
LEQF,0.00437666666667
LEQG,0.022634
LEQD,0.0
LEQK,0.0
LEQI,0.0207033333333
LEQN,0.0
LEQL,0.018855
LEQM,0.0
NGGL,0.004233
NGGM,0.03169
DNPL,0.0
QTAY,0.042775
QGGW,0.02716
QGGV,8.49602666667
QGGQ,8.16647
QGGS,14.4620971429
QGGR,0.0
QTAQ,6.08327
QTAR,0.0
QTAS,0.0515157142857
QTAT,0.034325
QTAW,0.0
QTAI,0.0675933333333
QGGG,17.748296
QGGF,18.39684
QTAL,5.88127714286
QTAM,0.04753
QGGM,4.35276
QGGL,7.4934575
QGGN,14.74348
QGGI,6.024425
QTAG,0.0905266666667
DNPV,0.0
DNPT,0.0
DNPR,0.0
DNPS,0.0
MRFN,0.0
MRFM,0.0
MRFL,0.124017777778
MRFK,0.00528666666667
MRFI,0.326496666667
MRFG,0.0
MRFF,0.0
MRFD,0.0
MRFA,0.0
MRFY,0.00975666666667
MRFW,0.0105666666667
MRFV,0.0
MRFT,0.198026666667
MRFS,0.00184555555556
MRFR,0.0
MRFQ,0.00551666666667
TGSA,6.866356875
TGSF,5.30976416667
TGSG,16.3578085714
TGSD,0.0386528571429
TGSK,0.0838899999999999
TGSI,19.5855966667
TGSN,8.0999925
TGSL,16.8100696875
TGSM,23.51923
TGSR,0.0691926315788999
TGSS,10.9982517857
TGSQ,25.1430566667
TGSV,17.21986
TGSW,0.06897
TGST,15.1599116667
TGSY,15.901622
LAEY,0.0
YCWT,0.02716
CVAL,0.0
HTAK,0.0
HAGA,0.0
HTAI,0.021125
HAGD,0.0
HTAN,0.0
HAGF,0.0
HTAL,0.0115911111111
HAGI,0.0321866666667
HTAA,0.0
HAGK,0.0
HAGL,0.0
HTAF,0.0292533333333
HAGN,0.019015
HTAD,0.0
HAGQ,0.0
HAGR,0.0
HAGS,0.0
HAGT,0.0
HAGW,0.0052875
HTAS,0.0086474999999999
HAGY,0.0
HTAQ,0.02716
HTAW,0.0
HTAV,0.06337
HYDS,0.0
LAEL,0.00195923076923
CHHL,0.0
CHHI,0.0
CHHY,0.0
YCWW,0.02716
AMHF,4.42012
AMHG,0.09505
AMHK,0.0
AMHI,0.05431
AMHN,0.0
AMHL,0.100456666667
AMHM,0.0
AMHR,0.0
AMHS,0.0
AMHW,0.0
TELQ,10.0063075
TELS,12.493404
TELT,14.5305675
PLTD,0.0
PLTF,0.00356833333333
PLTG,0.0703642105263
PLTA,0.0
PLTL,0.00793393939394
PLTM,0.004904
PLTN,0.00288909090909
TELV,25.1285190909
PLTI,0.0078599999999999
PLTK,0.0
PLTT,0.00397
TELY,15.474914
PLTV,0.0457484210526
PLTW,0.0
PLTQ,0.0
PLTR,0.0
PLTS,0.0500714285714
TNFG,0.010315
PLTY,0.00176916666667
PAYY,0.0
TELA,16.7961355556
TELD,13.4105883333
PSVK,0.0031775
TELF,12.2159883333
TELI,19.4980216667
PAYK,0.0
LYHR,0.00445555555556
PSVM,0.00603375
LDHY,0.0
PSVN,0.00607833333333
DYVY,0.0
DYVW,0.0
DYVV,0.0
DYVT,0.0
DYVS,0.0
DYVR,0.0
DYVQ,0.0
DYVM,0.0
DYVL,0.0
DYVK,0.0
DYVG,0.0
DYVF,0.0
NWHY,0.0
NWHQ,0.0
NWHS,0.0
NWHR,0.0
NWHT,0.0
NWHW,0.0
NWHV,0.0
NWHI,0.0
NWHK,0.0
LDHT,0.0
NWHM,0.0
NWHL,0.0
NWHN,0.0
NWHA,0.0
NWHD,0.0
NWHG,0.0
NWHF,0.0
SKAA,1.50410555556
SKAD,0.0567866666666999
SKAG,0.142638888889
SKAI,14.0098933333
SKAK,0.0
SKAM,27.9522716667
SKAL,12.2478516667
SKAN,0.054066
SKAQ,0.074276
SKAS,7.219519999999999
SKAT,5.34164888889
SKAW,0.0376475
SKAV,4.49205777778
SKAY,2.194706
NFQY,0.0
QDMY,0.0
NFQS,0.0
NFQR,0.0
NFQW,0.0
NFQV,0.0
QDMR,0.0
NFQT,0.0
NFQK,0.0
QDMM,0.02535
NFQI,0.0
NFQN,0.0
NFQM,0.0
NFQL,0.00453333333333
NFQA,0.0
QDMG,0.0
NFQG,0.007315
NFQF,0.0
NFQD,0.0
GVSK,0.0108888888889
GVSI,2.121921
GVSN,5.893188181819999
GVSL,5.417027931030001
GVSM,0.84106
GVSA,0.066105
GVSF,11.8149666667
GVSG,7.26229142857
GVSD,0.0
GVSY,0.045235
RNTI,0.0
GVSR,0.00874882352941
GVSS,0.962568695652
GVSQ,2.64607166667
GVSV,0.121506666667
GVSW,0.01833
GVST,0.0744058333333
RNTM,0.0
YQWN,0.0
YQWL,0.0
WYVG,0.0
TITD,0.0335
TITG,8.8175125
TITF,0.1320575
TITA,3.34367125
TITM,17.561195
TITL,9.419225
TITN,5.09239
TITI,5.3717875
TITK,4.14482333333
TITT,6.600164
TITW,0.0441774999999999
TITV,15.065615
TITQ,12.51495
TITS,15.9309363636
TITR,1.265294
TITY,0.2065075
YQWD,0.0
NCCF,0.0
YQWV,0.0
YRNW,0.0
KNFD,0.0
YHSK,0.0
RCKS,0.0
YHSN,0.0
YHSL,0.00634777777778
YHSM,0.0695133333333
RCKT,0.0
YHSA,0.0
YHSF,0.00528666666667
YHSG,0.01501
YHSD,0.0047
YHSY,0.01866
RCKV,0.0
VSSQ,0.0371877777778
YHSR,0.0
YHSS,0.00231
YHSV,0.00334333333333
YHSW,0.0
YHST,0.001592
AKSD,0.03168
AKSG,5.13408571429
AKSF,2.491532
AKSA,3.149764
RCKI,0.0
AKSM,15.5104825
AKSL,7.13349153846
AKSN,0.1129275
AKSI,22.697222
AKSK,0.04563
AKST,6.3228525
AKSW,0.044735
AKSV,4.7970775
AKSQ,20.09054
AKSS,8.29945916667
AKSR,0.0175455555556
KNFQ,0.0
AKSY,2.907712
PYYA,0.0
PYYF,0.0
PYYG,0.0105675
PYYD,0.0
PYYK,0.0
PYYI,0.0
PYYN,0.0
LDHG,0.0
PYYL,0.00116
PYYM,0.0
PYYR,0.0
PYYS,0.13308
PYYQ,0.01028
PYYV,0.19011
PYYW,0.0
PYYT,0.0
PYYY,0.0
FTEA,0.0
FTED,0.0
FTEK,3.82106
VWFN,0.0
VWFL,0.0
FTEN,0.0
SPAM,0.00340375
VWFG,0.0
FTET,0.01811
VWFD,0.0
FTEW,0.0
SPAF,0.00250545454545
FTEV,0.0
SPAG,0.0
VWFA,0.0
SPAY,0.006997
VWFY,0.0
VWFV,0.0
SQES,0.0133914285714
SQER,0.0
SQEQ,0.05431
SQEW,0.0
SQEV,0.014582
SQET,0.0
VWFS,0.0
SQEY,0.0246433333333
VWFR,0.0
SQEA,0.0
SQEG,0.01087
SQEF,0.00704666666667
SQED,0.03802
SQEI,0.068645
SQEN,0.04224
SQEM,0.0
SQEL,0.0269375
QWFR,0.0
QWFS,0.013585
QWFV,0.0
QWFW,0.0
QWFT,0.0
QWFN,0.0
QWFL,0.0
QWFM,0.0
QWFA,0.03169
QWFF,0.07604
WSDV,0.0
LWLY,0.00183625
LWLS,0.00481368421053
LWLR,0.00061875
LWLQ,0.0
LWLW,0.0
LWLV,0.014266
LWLT,0.002313
LWLK,0.0
LWLI,0.035534
LWLN,0.0
LWLM,0.0440175
LWLL,0.353141052632
LWLA,0.0
LWLG,0.00288909090909
LWLF,0.0017375
LWLD,0.0
WSDY,0.0
GNEY,0.0
WSDG,0.0
GNEQ,0.0
GNER,0.0
GNES,0.0
WSDD,0.008645
GNEV,0.0
GNEW,0.0
GNEL,0.0
GNEM,0.0
GNED,0.0
GNEF,0.0
GNEG,0.0
EEDI,0.0
EEDL,0.0
EEDM,0.0
EEDA,0.0
EEDF,0.0
WSDN,0.0
EEDY,0.0
EEDR,0.0
EEDS,0.0
EEDV,0.0
EEDT,0.0
WSDK,0.0
WSDI,0.0
CFFF,0.0
CFFA,0.0
CFFM,0.0
CFFL,0.0
CFFN,0.0
CFFI,0.0
CFFK,0.0
CFFT,0.0
CFFV,0.0
CFFQ,0.0
CFFS,0.0
WGRY,0.0
WGRQ,0.0
WGRR,0.0
WGRS,0.0
WGRT,0.0
WGRV,0.0
WGRW,0.0
WGRI,0.0
HEFK,0.0
WGRL,0.0
WGRM,0.0
WGRA,0.0
WGRD,0.0
WGRF,0.0
WGRG,0.0
VMPS,0.5175088888889999
HFRY,0.0
HFRT,0.0
HFRV,0.0
HFRW,0.0
EFVA,0.0
HFRR,0.00163333333333
HFRS,0.0
HFRL,0.0
HFRM,0.0
HFRN,0.0
HFRI,0.0
HFRK,0.0
HFRD,0.0
HFRF,0.0
HFRG,0.0
HFRA,0.0
HIRG,0.0
HIRF,0.0
HIRD,0.0
HIRA,0.0
HIRN,0.0
HIRM,0.0
HIRL,0.00192888888889
HIRK,0.0
HIRI,0.0
HIRW,0.0
HIRV,0.0
HIRT,0.0
HIRS,0.00679857142857
HIRR,0.0
HIRQ,0.0
VMPY,0.0
HIRY,0.0
VMPA,0.0
VMPF,0.0
MIWS,0.00874666666667
MIWR,0.6526866666669999
MIWQ,24.21426
MIWW,0.0
MIWV,0.0
MIWT,0.037715
MIWY,0.0712899999999999
VMPD,0.0
MIWA,0.0
MIWG,0.065175
MIWF,0.01408
MIWD,0.0
MIWK,8.54192
MIWI,3.73592
MIWN,0.04753
MIWL,3.25489333333
WVGW,0.0
WVGR,0.0
WVGL,0.0
WVGM,0.0
WVGK,0.0
WVGF,0.03457
WVGG,0.0
WVGD,0.01585
VVHW,0.0
SAIQ,0.8489416666670001
WYTI,0.0
WYTK,0.0
GDIK,0.03169
GDII,2.606115
GDIN,0.02377
GDIL,8.59511666667
GDIM,10.45562
NNFR,0.0
GDIA,4.19907
GDIF,0.0
GDIG,0.0
NNFK,0.0
GDIY,0.037715
NNFN,0.0
NNFL,0.0153633333333
NNFM,0.0
GDIR,0.014324
GDIS,0.0333983333333
GDIQ,17.462245
GDIV,8.68493
GDIW,0.0
GDIT,13.97129
VGNF,0.00381
VGND,0.0
VGNA,0.0
VGNN,0.00667666666667
VGNM,0.0090599999999999
VGNL,0.00266818181818
VGNK,0.0
VGNI,0.0105675
VGNV,0.0
VGNT,0.03169
VGNS,0.100925555556
VGNR,0.00315090909091
VGNQ,0.0
VGNY,0.0105675
IWMY,0.0
IWMW,0.0
IWMV,0.0
IWMT,0.0
IWMS,0.0
IWMR,0.017285
IWMQ,0.0
IWMN,0.0
IWMM,0.0
IWML,0.00488
IWMK,0.0
IWMI,0.0
IWMG,0.0
IWMF,0.0
IWMD,0.0
IWMA,0.0
WYTS,0.0095125
IYII,0.0
TNWG,0.03168
TNWF,1.292105
TNWD,0.0
TNWA,0.0390033333333
TNWN,0.04526
TNWM,0.074325
TNWL,0.0529799999999999
TNWK,0.0
TNWI,0.08641
TNWW,0.0
TNWV,0.0267566666667
TNWT,0.0492275
TNWS,0.8521700000000001
TNWR,0.0
TNWQ,0.04224
HMKT,0.0
TNWY,0.03002
RTNT,0.0
RTNV,0.0
HLRN,0.0
HLRL,0.00141777777778
HLRM,0.0
HLRK,0.0
HLRI,0.0
HLRF,0.0
HLRG,0.0
HLRD,0.0
HLRA,0.0
GRNV,0.0
HMKV,0.0
HLRY,0.0
HLRV,0.0
HLRW,0.0
HLRT,0.0
HLRR,0.0
HLRS,0.0
HLRQ,0.0
YKPT,0.0
YKPV,0.0
YKPW,1.276405
GRNS,0.0
YKPR,0.0
YKPS,0.0
GRNR,0.0
YKPY,0.0
YKPD,0.0
YKPF,0.0
YKPG,0.0
YKPA,0.0
SILY,0.12058
YKPL,0.005475
YKPM,0.0
YKPN,0.0
YKPI,0.0
YKPK,0.0
GRNY,0.0
RTND,0.0
SILA,16.9296255556
GRNG,0.0
RTNA,0.0
SILD,0.0429666666666999
DQVG,0.0
TKVY,4.339345
VMYN,0.0
TKVT,11.06247
TKVW,0.0095125
TKVV,16.6691371429
TKVQ,11.730885
TKVS,7.504506
TKVR,0.0141628571429
TKVM,36.6655733333
GRNM,0.0
TKVN,2.6433725
TKVI,30.1108533333
TKVK,0.16596
SILI,4.11972111111
TKVD,0.0607299999999999
TKVG,1.42743
TKVF,3.67687
TKVA,18.3784075
SILK,4.02413222222
GRNI,0.0
SILN,8.197835555560001
AFNG,0.0
AFNF,0.014265
AFND,0.0
AFNA,0.0
AFNN,0.0
AFNM,0.0
AFNL,0.00414
AFNK,0.0
AFNI,0.02716
AFNW,0.0
AFNV,0.0
AFNT,0.0
AFNS,0.0
AFNR,0.0
AFNQ,0.0
AFNY,0.0
KAPT,0.0
KAPW,0.0
KAPQ,0.0
KAPR,0.0
KAPS,0.0
KLPI,0.0
KLPK,0.0
KLPM,0.0
KAPY,0.0
KLPN,0.0
KAPD,0.0
KAPM,0.0
KAPI,0.0
RPKN,0.0
RPKM,0.0
RPKL,0.0
RPKK,0.0
RPKI,0.0
RPKG,0.0
RPKF,0.0
RPKA,0.0
RPKY,0.0
RPKW,0.0
RPKV,0.0
RPKS,0.0
RPKR,0.0
RPKQ,0.0
IGIS,0.03697
IGIR,0.0
IGIQ,0.038025
IGIW,0.0
IGIV,0.017355
IGIT,0.0
IGIY,0.021125
IGIA,0.0
IGIG,0.0086474999999999
IGIF,0.0
IGID,0.0
IGIK,0.0
IGII,0.013915
IGIN,0.03457
IGIM,0.036525
IGIL,0.0142833333333
SCND,6.35786
SCNF,14.2887666667
SCNG,2.006562
SCNA,0.0643766666666999
SCNL,0.75075125
SCNM,10.2292166667
SCNN,0.321736666667
SCNI,0.112425
SCNK,0.01268
SCNT,0.111096666667
IYLR,0.000713333333333
SCNV,0.13112
SCNW,0.0
SCNQ,0.0585
SCNR,0.00661
SCNS,0.0605883333333
HMKD,0.0
YQIN,0.15554
